open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1509.2062727555,1516.2216946812,1491.4859712594,1496.3567823373,2349992,600519.SH,2024-04-19,贵州茅台,NA,CNY
1503.0450602353,1525.6543474775,1494.8664595448,1522.1829858511,2995139,600519.SH,2024-04-22,贵州茅台,NA,CNY
1522.1284618465,1540.3031300477,1522.1284618465,1537.8313751723,2497995,600519.SH,2024-04-23,贵州茅台,NA,CNY
1542.1024221996,1544.7650110911,1529.6982111523,1539.0309032736,1708643,600519.SH,2024-04-24,贵州茅台,NA,CNY
1536.0593450227,1540.8483700937,1528.7167790694,1538.522012564,1447648,600519.SH,2024-04-25,贵州茅台,NA,CNY
1539.3943966376,1557.5690648388,1539.3762219694,1553.4161531548,3099592,600519.SH,2024-04-26,贵州茅台,NA,CNY
1542.0751601973,1570.2913325796,1539.2308246238,1548.4817307382,4133223,600519.SH,2024-04-29,贵州茅台,NA,CNY
1549.3995514824,1571.9997513905,1549.3904641483,1549.3904641483,3075989,600519.SH,2024-04-30,贵州茅台,NA,CNY
1575.7164710376,1603.9144687517,1569.3825991695,1599.5525483834,5990949,600519.SH,2024-05-06,贵州茅台,NA,CNY
1604.6323681457,1615.5462564005,1596.35380678,1608.458135802,2492452,600519.SH,2024-05-07,贵州茅台,NA,CNY
1608.1764284449,1608.4308737997,1595.4359860359,1602.9784733394,1476909,600519.SH,2024-05-08,贵州茅台,NA,CNY
1597.5533348813,1603.8962940835,1590.2834676008,1595.7358680612,2238734,600519.SH,2024-05-09,贵州茅台,NA,CNY
1600.3704084525,1606.5316209727,1575.7346457058,1580.269225422,2620661,600519.SH,2024-05-10,贵州茅台,NA,CNY
1573.944440888,1574.5260302704,1545.9554518582,1550.2991975583,3766212,600519.SH,2024-05-13,贵州茅台,NA,CNY
1550.2901102242,1556.9056894494,1544.8558844321,1546.6460892499,2127417,600519.SH,2024-05-14,贵州茅台,NA,CNY
1547.1913292959,1552.1166643784,1543.5654829898,1544.846797098,1573876,600519.SH,2024-05-15,贵州茅台,NA,CNY
1549.3904641483,1553.8250831893,1535.7594629974,1548.9360974432,2967954,600519.SH,2024-05-16,贵州茅台,NA,CNY
1544.8558844321,1559.9135970367,1544.846797098,1558.4777982488,2892388,600519.SH,2024-05-17,贵州茅台,NA,CNY
1561.1949111449,1574.8259122958,1552.2166250535,1553.0253977885,3142572,600519.SH,2024-05-20,贵州茅台,NA,CNY
1552.1166643784,1553.6887731778,1543.1747276235,1549.3904641483,1629339,600519.SH,2024-05-21,贵州茅台,NA,CNY
1547.5729973281,1553.8977818621,1536.6681964074,1542.7657975889,2028568,600519.SH,2024-05-22,贵州茅台,NA,CNY
1544.846797098,1550.6445162541,1535.8321616702,1537.5860171516,1888497,600519.SH,2024-05-23,贵州茅台,NA,CNY
1538.4856632276,1540.3031300477,1523.9459286666,1524.0186273394,2021663,600519.SH,2024-05-24,贵州茅台,NA,CNY
1524.8546620767,1533.4421928017,1515.7764153102,1517.6938428054,2509791,600519.SH,2024-05-27,贵州茅台,NA,CNY
1517.9482881603,1522.2829465262,1511.2236609258,1512.7139837183,2352087,600519.SH,2024-05-28,贵州茅台,NA,CNY
1513.949861156,1526.6721288968,1513.041127746,1521.2197284365,1965128,600519.SH,2024-05-29,贵州茅台,NA,CNY
1522.1284618465,1522.4737805423,1498.501393185,1498.501393185,3220792,600519.SH,2024-05-30,贵州茅台,NA,CNY
1499.8644933001,1511.6780276309,1498.0015898095,1498.0015898095,2185665,600519.SH,2024-05-31,贵州茅台,NA,CNY
1499.4101265951,1500.2461613323,1485.8790861193,1489.7684651144,3026105,600519.SH,2024-06-03,贵州茅台,NA,CNY
1490.7771591995,1504.8625270554,1487.1876622298,1502.3180735073,2084108,600519.SH,2024-06-04,贵州茅台,NA,CNY
